category;topic
Human Rights;Human rights
Human Rights;Right of return
Human Rights;Right of self-defense
Human Rights;Right to be heard
Human Rights;Right to clothing
Human Rights;Right to disconnect
Human Rights;Right to explanation
Human Rights;Right to family life
Human Rights;Right to personal identity
Human Rights;Right to sexuality
Human Rights;Right to truth
Human Rights;Right to social security
Human Rights;Right to food
Human Rights;Right to housing
Human Rights;Right to health
Human Rights;Right to education
Environment;Climate change
Environment;Environmental degradation
Environment;Environmental health
Environment;Environmental issues with energy
Environment;Environmental impact of transport
Environment;Environmental issues with war
Environment;Overpopulation
Environment;Mutation breeding
Environment;Genetically modified food
Environment;Air pollution
Environment;Light pollution
Environment;Noise pollution
Environment;Soil pollution
Environment;Water pollution
Environment;Resource depletion
Environment;Waste
Corruption;Corruption
Corruption;Cronyism
Corruption;Insider trading
Corruption;Nepotism
Corruption;Police corruption
Corruption;Securities fraud
Corruption;Bribery
Corruption;Embezzlement
Corruption;Money laundering
Corruption;Political corruption
Corruption;Tax evasion
Social Issues;Social stratification
Social Issues;Unemployment
Social Issues;Working poor
Social Issues;Ageism
Social Issues;Social inequality
Social Issues;Educational inequality
Social Issues;wage inequality
Social Issues;gender inequality
Social Issues;racial inequality
Social Issues;Health equity
Social Issues;discrimination
Social Issues;Environmental racism
Social Issues;Abortion debate
Social Issues;literacy
Social Issues;racism
Social Issues;Human trafficking
Employee Concerns;Labor rights
Employee Concerns;Equal pay for equal work
Employee Concerns;Overtime
Employee Concerns;Child labour
Employee Concerns;Occupational safety and health
Employee Concerns;Minimum wage
Employee Concerns;Gender pay gap